cenario,restaurantes,completo,componentes_sem_referencia,kcal_min,kcal_est,kcal_max,proteina_g_min,proteina_g_est,proteina_g_max,carbo_g_min,carbo_g_est,carbo_g_max,lipidios_g_min,lipidios_g_est,lipidios_g_max,fibra_g_min,fibra_g_est,fibra_g_max,sodio_mg_min,sodio_mg_est,sodio_mg_max
Refeição + Refresco de maracujá,RS,False,"proteína texturizada de soja, ervilha partida, chuchu, cará, batatas bravas, páprica",352.7312642345339,437.7055829825475,573.6904046956522,9.34872463768116,12.085493961352658,16.713527173913043,77.36960869565215,95.48978937198066,124.07483949275363,2.25,2.8112777777777778,3.6283666666666665,11.076,18.4565,29.4113,46.53046666666667,54.09133333333333,68.59486666666666
Refeição + refresco de pêssego,"RU,RA,HC,CAISM",False,"proteína texturizada de soja, ervilha partida, chuchu, cará, batatas bravas, páprica",377.9900882345339,464.73826298254755,606.1904046956522,8.45472463768116,11.088827294685991,15.463527173913045,85.04480869565216,104.01378937198066,134.72483949275363,1.9440000000000002,2.4679444444444445,3.195033333333333,11.526,18.95283333333333,30.027133333333335,20.084266666666668,24.698999999999998,31.844866666666668
